x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
5,24,287749836,445361227,340759260,10276779.857142856
5,25,348049243,366040502,368181603,9668034.527777778
5,26,878648905,788901549,1114269556,18305185.520833332
5,27,2205871449,1745374560,1662544698,24240345.59340659
5,28,33525921,31451095,203213257,2095370.0625
5,29,203199761,764530892,326836428,15630750.846153846
5,30,798086298,980404835,798263915,21002271
5,31,699013715,351045623,1022478839,34950685.75
5,32,912954769,1344241222,724916509,19846842.804347824
5,33,1686061683,1570776985,1248231312,26344713.796875
5,34,1246757335,1998161869,1249356965,22668315.181818184
5,35,2215785780,1676715913,2213522955,29943051.08108108
5,36,466462358,545543006,466361284,16659369.92857143
6,5,2995405924,2846478680,3635138781,21864276.81751825
6,6,1734937035,1424316825,1304259800,23445095.06756757
6,7,1239938670,1634180563,1559003387,22141761.964285713
6,8,1358200633,1512954452,895314654,24253582.73214286
6,9,1027283208,1139954716,1501011489,15332585.19402985
6,10,1464074070,1795356841,1010459065,18532583.16455696
6,11,3962396738,2928409874,4428984877,21771410.648351647
6,12,2438253609,2203747860,3432500398,18195922.45522388
6,13,3307600218,2716148007,2825474562,19456471.870588236
6,14,890445495,46008265,552675976,34247903.65384615
6,15,2440964645,1602709791,2417696659,24167966.78217822
6,16,3754334558,3105842016,3271019753,21210929.70621469
6,17,1611715444,1217046794,1187085216,18740877.255813953
6,18,1321592277,1631793620,2085688108,13085072.04950495
6,19,1022062826,1109979123,925238803,20858425.020408165
6,20,2198961426,2787533378,2413513030,14372296.901960785
6,21,942721855,1720108486,698351839,16253825.086206896
6,22,1292487424,1004313291,738691037,19290857.074626867
6,23,574749997,764900166,578050392,15124999.921052631
6,24,227905867,490855137,469350128,6906238.393939394
6,25,386770287,167826574,597709097,11050579.628571428
6,26,203343339,523420875,336835499,12708958.6875
6,27,15608419,368637440,228020690,867134.3888888889
6,28,1076211289,1402583461,908721285,21102182.1372549
6,29,589977824,460113794,746400147,31051464.42105263
6,30,1473791823,462620185,1038074011,43346818.323529415
6,31,467770774,238994652,688106840,24619514.42105263
6,32,1069540783,1352916089,603431146,30558308.085714284
6,33,768001936,911360950,645078612,28444516.14814815
6,34,89936,231057676,344222816,7494.666666666667
6,35,656851821,114577934,466529547,46917987.21428572
6,36,747902344,1013343106,967942879,26710798
7,5,902769054,1343912462,782737732,25793401.542857144
7,6,782654096,1333427841,954718498,15051040.307692308
